date,customerID,productID,payment,amount,price,cost,category
2017-01-16,64292,8403,paypal,3,560.74,234.89,emergency
2017-08-16,41174,7234,paypal,3,351.14,171.11,specialty
2017-10-26,49737,32738,paypal,3,343.38,105.14,emergency
2017-11-24,24021,70159,cash,2,905.96,345.4,emergency
2017-02-13,78762,2002,cash,2,799.99,407.3,emergency
2017-07-18,79148,86205,credit card,1,284.07,132.35,emergency
2017-08-23,79148,40784,cash,3,125.79,47.53,specialty
2017-11-06,23090,16224,paypal,3,85.77,36.61,specialty
2017-09-28,12307,82560,credit card,2,658.88,330.44,emergency
2017-04-19,45757,27578,credit card,1,458.31,269.8,emergency
2017-09-26,13608,99445,paypal,3,74.29,28.26,specialty
2017-04-25,85997,96506,cash,3,262.78,100.68,emergency
2017-06-12,23243,2002,paypal,1,799.99,407.3,emergency
2017-06-27,83043,25031,credit card,1,548.78,226.66,emergency
2017-05-16,55742,24221,credit card,3,933.45,291.74,specialty
2017-02-04,67151,7234,credit card,1,351.14,171.11,specialty
2017-09-14,39095,27410,credit card,2,240.23,84.42,specialty
2017-10-23,69014,86205,cash,1,284.07,132.35,emergency
2017-10-26,57762,34082,cash,3,40.67,12.21,specialty
2017-11-19,67178,99445,paypal,1,74.29,28.26,specialty
2017-07-21,26120,9947,cash,3,919.18,506.98,specialty
2017-06-30,28092,86064,cash,3,589.82,185,emergency
2017-05-10,69141,25426,paypal,1,146.15,75.92,emergency
2017-07-18,3516,87212,credit card,1,694.73,364.1,specialty
2017-07-03,10857,34082,cash,1,40.67,12.21,specialty
2017-12-28,22916,81136,cash,1,45.9,23.98,emergency
2017-01-06,4722,2002,paypal,1,799.99,407.3,emergency
2017-02-10,74834,79954,paypal,3,106.01,47.34,emergency
2017-07-25,29227,86205,paypal,2,284.07,132.35,emergency
2017-08-20,26969,91230,cash,1,703.77,408.07,emergency
2017-10-27,59989,51943,credit card,1,652.13,376.21,specialty
2017-03-29,1108,18541,paypal,1,393.71,128.61,emergency
2017-09-08,63692,75593,credit card,1,23.5,10.06,specialty
2017-03-30,62608,55593,cash,2,73.52,35.49,emergency
2017-10-17,88314,27188,paypal,2,574.61,339.91,emergency
2017-09-13,80017,81136,paypal,2,45.9,23.98,emergency
2017-01-26,13024,29656,paypal,2,76.76,45.74,emergency
2017-11-04,85894,32310,credit card,1,451.42,139.76,emergency
2017-08-23,24221,72114,paypal,3,257.33,96.49,specialty
2017-09-13,45175,86064,cash,1,589.82,185,emergency
2017-07-02,16136,9072,paypal,3,97.04,43.04,emergency
2017-06-10,4567,18541,credit card,1,393.71,128.61,emergency
2017-06-21,69684,34082,cash,1,40.67,12.21,specialty
2017-08-04,2065,27410,paypal,2,240.23,84.42,specialty
2017-12-04,76025,96506,paypal,2,262.78,100.68,emergency
2017-09-01,79896,87212,paypal,1,694.73,364.1,specialty
2017-02-05,1125,43446,credit card,3,879.47,-99,emergency
2017-06-11,89220,16224,credit card,2,85.77,36.61,specialty
2017-06-02,53012,76290,paypal,1,692.84,382.05,emergency
2017-10-03,7901,96001,paypal,3,635.86,320.37,specialty
2017-10-21,10074,42029,cash,1,920.94,543.9,emergency
2017-08-24,52073,55593,paypal,2,73.52,35.49,emergency
2017-04-02,41521,8632,credit card,1,561.63,270.51,emergency
2017-03-03,31101,28088,credit card,1,697.08,386.5,specialty
2017-01-22,17856,25426,paypal,2,146.15,75.92,emergency
2017-05-28,15689,27578,credit card,2,458.31,269.8,emergency
2017-09-07,55974,81165,credit card,1,700.72,387.72,emergency
2017-06-17,92556,88698,cash,3,29.54,10.35,specialty
2017-10-04,90007,9072,paypal,3,97.04,43.04,emergency
